--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
cropped_words/bbox_28_4.jpg	toe                      	0.0066
cropped_words/bbox_28_6.jpg	t                        	0.0140
cropped_words/bbox_28_8.jpg	t                        	0.0228
cropped_words/bbox_28_10.jpg	toe                      	0.0077
cropped_words/bbox_28_12.jpg	to                       	0.0076
cropped_words/bbox_28_14.jpg	a                        	0.1477
cropped_words/bbox_28_16.jpg	t                        	0.0090
cropped_words/bbox_28_18.jpg	oe                       	0.0093
cropped_words/bbox_28_20.jpg	oe                       	0.0079
cropped_words/bbox_28_22.jpg	the                      	0.0112
cropped_words/bbox_28_24.jpg	o                        	0.0053
cropped_words/bbox_28_26.jpg	o                        	0.0032
cropped_words/bbox_28_28.jpg	toe                      	0.0054
cropped_words/bbox_31_0.jpg	the                      	0.0176
cropped_words/bbox_31_2.jpg	                         	0.0119
cropped_words/bbox_31_4.jpg	oe                       	0.0064
cropped_words/bbox_31_6.jpg	oe                       	0.0083
cropped_words/bbox_34_0.jpg	h                        	0.0084
cropped_words/bbox_34_2.jpg	oe                       	0.0056
cropped_words/bbox_34_4.jpg	toe                      	0.0066
cropped_words/bbox_34_6.jpg	t                        	0.0096
cropped_words/bbox_34_8.jpg	a                        	0.0302
cropped_words/bbox_34_10.jpg	t                        	0.0176
cropped_words/bbox_34_12.jpg	o                        	0.0099
cropped_words/bbox_34_14.jpg	i                        	0.0580
cropped_words/bbox_34_16.jpg	hs                       	0.0091
cropped_words/bbox_34_18.jpg	t                        	0.0139
cropped_words/bbox_34_20.jpg	i                        	0.0160
cropped_words/bbox_34_22.jpg	a                        	0.0344
cropped_words/bbox_34_24.jpg	                         	0.0200
cropped_words/bbox_34_26.jpg	toe                      	0.0066
cropped_words/bbox_34_28.jpg	oe                       	0.0033
cropped_words/bbox_37_0.jpg	toe                      	0.0047
cropped_words/bbox_37_2.jpg	oe                       	0.0071
cropped_words/bbox_37_4.jpg	toe                      	0.0116
cropped_words/bbox_37_6.jpg	toe                      	0.0074
cropped_words/bbox_37_8.jpg	oe                       	0.0077
cropped_words/bbox_37_10.jpg	oe                       	0.0074
cropped_words/bbox_37_12.jpg	toe                      	0.0080
cropped_words/bbox_37_14.jpg	to                       	0.0091
cropped_words/bbox_40_0.jpg	i                        	0.0468
cropped_words/bbox_40_2.jpg	i                        	0.0689
cropped_words/bbox_40_4.jpg	                         	0.0063
cropped_words/bbox_40_6.jpg	og                       	0.0001
cropped_words/bbox_40_8.jpg	tee                      	0.0073
